EPOCH 423, LOSS: 0.0019074893789365888
EPOCH 424, LOSS: 0.001887821825221181
EPOCH 425, LOSS: 0.0019094260642305017
EPOCH 426, LOSS: 0.001877807080745697
EPOCH 427, LOSS: 0.0019017545273527503
EPOCH 428, LOSS: 0.0018647632095962763
EPOCH 429, LOSS: 0.0018859910778701305
EPOCH 430, LOSS: 0.0018499739235267043
EPOCH 431, LOSS: 0.0018676819745451212
EPOCH 432, LOSS: 0.0018342584371566772
EPOCH 433, LOSS: 0.001851497683674097
EPOCH 434, LOSS: 0.0018180510960519314
EPOCH 435, LOSS: 0.0018438459374010563
EPOCH 436, LOSS: 0.0018070540390908718
EPOCH 437, LOSS: 0.0018656548345461488
EPOCH 438, LOSS: 0.0018356033833697438
EPOCH 439, LOSS: 0.0020079342648386955
EPOCH 440, LOSS: 0.0020956220105290413
EPOCH 441, LOSS: 0.002569654257968068
EPOCH 442, LOSS: 0.0030707900878041983
EPOCH 443, LOSS: 0.0029343701899051666
EPOCH 444, LOSS: 0.0022830304224044085
EPOCH 445, LOSS: 0.0019312405493110418
EPOCH 446, LOSS: 0.0022836218122392893
EPOCH 447, LOSS: 0.0022437390871345997
EPOCH 448, LOSS: 0.0019472811836749315
EPOCH 449, LOSS: 0.0022897939197719097
EPOCH 450, LOSS: 0.0022361688315868378
EPOCH 451, LOSS: 0.0017648297362029552
EPOCH 452, LOSS: 0.0024020657874643803
EPOCH 453, LOSS: 0.0025086714886128902
EPOCH 454, LOSS: 0.0016575709450989962
EPOCH 455, LOSS: 0.002916904166340828
EPOCH 456, LOSS: 0.0029434734024107456
EPOCH 457, LOSS: 0.0018049648497253656
EPOCH 458, LOSS: 0.004210059531033039
EPOCH 459, LOSS: 0.002345675602555275
EPOCH 460, LOSS: 0.0024629291146993637
EPOCH 461, LOSS: 0.002480786759406328
EPOCH 462, LOSS: 0.0028991876170039177
EPOCH 463, LOSS: 0.002042622771114111
EPOCH 464, LOSS: 0.002253676299005747
EPOCH 465, LOSS: 0.0018563682679086924
EPOCH 466, LOSS: 0.0025860569439828396
EPOCH 467, LOSS: 0.0018166655208915472
EPOCH 468, LOSS: 0.002181050833314657
EPOCH 469, LOSS: 0.0016461852937936783
EPOCH 470, LOSS: 0.0021188652608543634
EPOCH 471, LOSS: 0.001778107020072639
EPOCH 472, LOSS: 0.0019869657699018717
EPOCH 473, LOSS: 0.0016621066024526954
EPOCH 474, LOSS: 0.0020804940722882748
EPOCH 475, LOSS: 0.001673513324931264
EPOCH 476, LOSS: 0.0019065150991082191
EPOCH 477, LOSS: 0.0016640863614156842
EPOCH 478, LOSS: 0.0019887862727046013
EPOCH 479, LOSS: 0.0016384936170652509
EPOCH 480, LOSS: 0.0017733447020873427
EPOCH 481, LOSS: 0.0016077605541795492
EPOCH 482, LOSS: 0.0017273812554776669
